"value","genre","maxi","mini"
8.32093023255814,"Action",9,8
8.28333333333333,"Adventure",8.9,8
8.21904761904762,"Animation",8.5,8
8.21153846153846,"Biography",8.9,8
8.19523809523809,"Comedy",8.6,8
8.27454545454545,"Crime",9.1,8
8.25879120879121,"Drama",9.2,8
8.26923076923077,"Family",8.6,8
8.30769230769231,"Fantasy",8.7,8
8.23333333333333,"FilmNoir",8.4,8.1
8.2,"History",8.9,8
8.35,"Horror",8.5,8.1
8.15,"Musical",8.2,8.1
8.26551724137931,"Mystery",8.6,8
8.20909090909091,"Romance",8.8,8
8.2952380952381,"SciFi",8.7,8.1
8.1,"Sport",8.2,8
8.2025641025641,"Thriller",8.6,8
8.23,"War",8.6,8
8.35,"Western",8.8,8.1
